sub-	亜	ア, つ-ぐ	под-
laid waste	荒	コウ, あら-い, あら-, あ-れる, あ-らす, すさ-む	бурный
outskirts	郊	コウ	пригород
incense	香	コウ、（キョウ）、か、かお-り、かお-る	аромат
climate	候	コウ、そうろう	погода
school	校	コウ	школа
till	耕	コウ、たがや-す	земледелие
cruise	航	コウ	курсировать
tribute	貢	コウ、（ク）、みつ-ぐ	дань
descend	降	コウ, ゴ, お-りる, お-ろす, ふ-る, ふ-り, くだ-る, くだ-す	спускаться
tall, expensive	高	コウ、たか-い、たか、たか-まる、たか-める	высокий
health	康	コウ	здоровье
withdraw	控	コウ、ひか-える	записи
close up	梗	コウ, むね	закупорка
yellow	黄	コウ、オウ、き、（こ）	жёлтый
throat	喉	コウ、のど	горло
disconcerted	慌	コウ、あわ-てる、あわ-ただしい	паника
harbor	港	コウ、みなと	порт
stiff	硬	コウ、かた-い	жёсткий
strangle	絞	コウ、しぼ-る、し-める、し-まる	душить
paragraph	項	コウ, うなじ	параграф
gutter	溝	コウ、みぞ	канава
mineral	鉱	コウ, あらがね	руда
construct	構	コウ、かま-える、かま-う	структура
hawser	綱	コウ、つな	канат
fermentation	酵	コウ	дрожжи
draft	稿	コウ	рукопись
entertain	興	コウ、キョウ、おこ-る、おこ-す	развлечение
equilibrium	衡	コウ	равновесие
steel	鋼	コウ、はがね	сталь
lecture	講	コウ	лекция
subscription	購	コウ	приобретать
beg	乞	コツ, こ-う	выпрашивать
number	号	ゴウ	номер
fit	合	ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる	соединяться
torture	拷	ゴウ	пытать
sturdy	剛	ゴウ	жёсткий
be proud	傲	ゴウ, おご-る	высокомерие
overpowering	豪	ゴウ, えら-い	превосходящий
overcome	克	コク, か-つ	преодолевать
tell	告	コク、つ-げる	объявлять
valley	谷	コク、たに	долина
engrave	刻	コク、きざ-む	гравировать
country	国	コク、くに	страна
black	黒	コク, くろ, くろ-ずむ, くろ-い	чёрный
cereals	穀	コク	зерно
cruel	酷	コク, ひど-い	жестокий
prison	獄	ゴク	тюрьма
bone	骨	コツ、ほね	кость
horse	駒	こま	пешка
crowded	込	こ-む、こ-める	внутрь
times	頃	ケイ, ころ	около
now	今	コン、キン、いま	сейчас
become distressed	困	コン、こま-る	трудности
descendants	昆	コン	насекомое
rancor	恨	コン、うら-む、うら-めしい	обида
root	根	コン、ね	корень
marriage	婚	コン	брак
mix	混	コン、ま-じる、ま-ざる、ま-ぜる、こ-む	смешивать
mark	痕	コン、あと	шрам
dark blue	紺	コン	тёмно-синий
soul	魂	コン, たましい, たま	душа
ground-breaking	墾	コン	расчистка
sociable	懇	コン、ねんご-ろ	любезный
left (direction)	左	サ、ひだり	левый
help	佐	サ	старший офицер
sand	沙	サ	песок
investigate	査	サ	расследовать
sand	砂	サ、シャ、すな	песок
tempt	唆	サ, そそ-る, そそのか-す	будоражить
distinction	差	サ、さ-す	разница
lie	詐	サ, いつわ-る	лгать
chain	鎖	サ, くさり, とざ-す	цепь
sit	座	ザ、すわ-る	сидение
sprain	挫	ザ, サ, くじ-く, くじ-ける	вывихнуть
genius	才	サイ	талант
again	再	サイ、（サ）、ふたた-び	вторично
disaster	災	サイ、わざわ-い	бедствие
wife	妻	サイ、つま	жена
form	采	サイ	игральная кость
smash	砕	サイ、くだ-く、くだ-ける	раздроблять
superintend	宰	サイ	руководить
plantation	栽	サイ	выращивать
coloring	彩	サイ、いろど-る	расцвечивать
pick	採	サイ、と-る	добывать
settle	済	サイ、す-む、す-ます, な-す, すく-う, わた-る	закончено
festival	祭	サイ、まつ-る、まつ-り	праздник
purification	斎	サイ	очищение
thin	細	サイ、ほそ-い、ほそ-る、こま-か、こま-かい	мелкий
vegetable	菜	サイ、な	овощи
most	最	サイ、もっと-も	самый
judge	裁	サイ、た-つ、さば-く	судить
bond	債	サイ	заём
sponsor	催	サイ、もよお-す	устраивать
obstruct	塞	サイ、ソク、ふさ-ぐ、ふさ-がる	затыкать
year-end	歳	サイ、（セイ）, とし, とせ	возраст
ride	載	サイ、の-せる、の-る	грузить
occasion	際	サイ、きわ	рубеж
cape (geography)	埼	キ, さき, （さい）	Сайтама
exist	在	ザイ、あ-る	находиться
lumber	材	ザイ	материал
dose	剤	ザイ	снадобье
wealth	財	ザイ、（サイ）	финансы
guilt	罪	ザイ、つみ	преступление
promontory	崎	キ, さき, みさき	мыс
make	作	サク、サ、つく-る	делать
plane	削	サク, けず-る, はつ-る, そ-ぐ	срезать
previous	昨	サク	вчера
fence	柵	サク, しがら-む	изгородь
cord	索	サク	трос
scheme	策	サク	мероприятия
vinegar	酢	サク、す	уксус
squeeze	搾	サク、しぼ-る	выжимать
confused	錯	サク, シャク	запутываться
blossom	咲	ショウ, さ-く	цвести
counter for books	冊	サツ、サク	том
tag	札	サツ、ふだ	этикетка
printing	刷	サツ、す-る, は-く	печатать
temple	刹	サツ、セツ	храм
be imminent	拶	サツ	приветствие
kill	殺	サツ、（サイ）、（セツ）、ころ-す, そ-ぐ	убивать
guess	察	サツ	инспектировать
snapshot	撮	サツ、と-る	фотографировать
grate	擦	サツ、す-る、す-れる, こす-る, こす-れる	тереть
miscellaneous	雑	ザツ、ゾウ, まじ-える, まじ-る	всякого рода
dish	皿	さら	тарелка
three	三	サン、み、み-つ、みっ-つ	три
mountain	山	サン、やま	гора
participate	参	サン、まい-る	участвовать
scaffold	桟	サン, かけはし	настил
silkworm	蚕	サン、かいこ	шелковичный червь
wretched	惨	サン、ザン、みじ-め, むご-い	трагический
give birth	産	サン, う-む, う-まれる, うぶ-, む-す	рождать
umbrella	傘	サン、かさ	зонтик
scatter	散	サン、ち-る、ち-らす、ち-らかす、ち-らかる, ばら	разбрасывать
calculate	算	サン, そろ	вычислять
acid	酸	サン、す-い	кислота
approve	賛	サン	одобрять
remainder	残	ザン、のこ-る、のこ-す	оставаться
kill by slicing	斬	ザン、き-る	отрубать
temporarily	暫	ザン, しばら-く	некоторое время
gentleman	士	シ	воин
child	子	シ、ス、こ	ребёнок
branch	支	シ, ささ-える, つか-える, か-う	филиал
stop	止	シ、と-まる、と-める, とど-める, とど-まる, や-める, や-む, よ-す, -さ-す	останавливать
family name	氏	シ、うじ	господин
do	仕	シ、（ジ）、つか-える	делать
history	史	シ	история
director	司	シ, つかさど-る	управляющий
four	四	シ、よ、よ-つ、よっ-つ、よん	четыре
market	市	シ、いち	город
arrow	矢	シ、や	стрела
delicious	旨	シ, むね, うま-い	суть
death	死	シ、し-ぬ	смерть
thread	糸	シ、いと	нить
climax	至	シ、いた-る	наиболее
pay respects	伺	シ、うかが-う	осведомляться
intention	志	シ、こころざ-す、こころざし	воля
me	私	シ、わたくし、わたし	я
use	使	シ、つか-う	употреблять
thorn	刺	シ、さ-す、さ-さる, とげ	вонзать
begin	始	シ、はじ-める、はじ-まる	начало
older sister	姉	シ、あね	старшая сестра
branch	枝	シ、えだ	ветка
welfare	祉	シ	соцобеспечение
limb	肢	シ	конечности
figure	姿	シ、すがた	фигура
think	思	シ、おも-う	думать
finger	指	シ、ゆび、さ-す	палец
carry out	施	シ、セ、ほどこ-す	осуществлять
expert	師	シ	учитель
selfish	恣	シ, ほしいまま	своеволие
paper	紙	シ、かみ	бумага
fat	脂	シ、あぶら	жир
look at	視	シ, み-る	зрение
purple	紫	シ、むらさき	фиолетовый
poetry	詞	シ	слово
tooth	歯	シ、は	зуб
heir	嗣	シ	преемник
test	試	シ、こころ-みる、ため-す	испытание
poem	詩	シ, うた	стихи
resources	資	シ	капитал
domesticate	飼	シ、か-う	выкармливать
document	誌	シ	журнал
feminine	雌	シ, め-, めす, めん	самка
seriousness	摯	シ	проникновенный
grant	賜	シ、たまわ-る, たま-う	жаловать
consult with	諮	シ、はか-る	консультироваться
indicate	示	ジ、シ、しめ-す	указывать
letter	字	ジ、あざ	иероглиф
Buddhist temple	寺	ジ、てら	храм
next	次	ジ、シ、つ-ぐ、つぎ	следующий
ear	耳	ジ、みみ	ухо
oneself	自	ジ, シ, みずか-ら, おの-ずから, おの-ずと	сам
becoming	似	ジ、に-る	похожий
child	児	ジ、（ニ）	дитя
abstract thing	事	ジ、（ズ）、こと	дело
waiter	侍	ジ、さむらい, はべ-る	самурай
govern	治	ジ、チ、おさ-める、おさ-まる、なお-る、なお-す	лечить
hold	持	ジ、も-つ, も-てる	держать
time	時	ジ、とき	время
nourishing	滋	ジ	питание
mercy	慈	ジ、いつく-しむ	привязанность
resign	辞	ジ、や-める	отставка
magnet	磁	ジ	магнит
bait	餌	ジ、えさ、え, えば	приманка
emperor's seal	璽	ジ	императорская печать
deer	鹿	ロク,しか、（か）	олень
style	式	シキ	формула
discriminating	識	シキ, し-る, しる-す	сознание
axis	軸	ジク	ось
seven	七	シチ、なな、なな-つ、（なの）	семь
scold	叱	シツ、しか-る	ругать
lose	失	シツ, うしな-う, う-せる	терять
room	室	シツ、むろ	комната
rapidly	疾	シツ, はや-い	болезнь
tenacious	執	シツ、シュウ、と-る	выполнять
damp	湿	シツ、しめ-る、しめ-す	сырой
envy	嫉	シツ, そね-む, ねた-む	ревность
lacquer	漆	シツ、うるし	лак
quality	質	シツ、シチ、（チ）, ただ-す	качество
truth	実	ジツ、み、みの-る, まこと	настоящий
turf	芝	しば	газон
copy	写	シャ、うつ-す、うつ-る	копировать
company	社	シャ, やしろ	фирма
car	車	シャ、くるま	автомобиль
cottage	舎	シャ, やど-る	здание
someone	者	シャ、もの	человек
shoot	射	シャ, い-る, さ-す	стрелять
throwaway	捨	シャ、す-てる	выбрасывать
pardon	赦	シャ	щадить
diagonal	斜	シャ, なな-め, はす	наискось
boil	煮	シャ、に-る、に-える、に-やす	варить
intercept	遮	シャ、さえぎ-る	преграждать
apologize	謝	シャ、あやま-る	благодарить
wicked	邪	ジャ, よこし-ま	дурной
snake	蛇	ジャ、ダ、へび	змея
shaku	尺	シャク	мера длины
borrow	借	シャク、か-りる	брать в долг
bartending	酌	シャク、く-む	поить сакэ
explanation	釈	シャク	пояснения
baron	爵	シャク	титул
young	若	ジャク、（ニャク）、わか-い、も-しくは, も-し	молодой
weak	弱	ジャク、よわ-い、よわ-る、よわ-まる、よわ-める	слабый
loneliness	寂	ジャク、（セキ）、さび、さび-しい、さび-れる, さみ-しい	одиночество
hand	手	シュ、て、（た）	рука
master	主	シュ、（ス）、ぬし、おも, あるじ	хозяин
protect	守	シュ、（ス）、まも-る、も-り, かみ	охранять
vermilion	朱	シュ, あけ	киноварь
take	取	シュ、と-る	брать
hunt	狩	シュ、か-る、か-り	охотиться
neck	首	シュ、くび	шея
particularly	殊	シュ、こと	особенный
pearl	珠	シュ, たま	жемчуг
alcoholic drink	酒	シュ、さけ、（さか）	сакэ
tumor	腫	シュ、は-れる、は-らす	опухоль
kind	種	シュ, たね, -ぐさ	разновидность
gist	趣	シュ, おもむき, おもむ-く	прелесть
longevity	寿	ジュ、ことぶき, ことぶ-く	долголетие
accept	受	ジュ、う-ける、う-かる	принимать
charm	呪	ジュ、のろ-う, まじな-う	проклятие
instruct	授	ジュ、さず-ける、さず-かる	предоставлять
demand	需	ジュ	спрос
Confucian	儒	ジュ	конфуцианство
trees	樹	ジュ, き	деревья
takein	収	シュウ、おさ-める、おさ-まる	доход
captured	囚	シュウ, とら-われる	арестант
state	州	シュウ、す	провинция
boat	舟	シュウ、ふね、（ふな）	лодка
excel	秀	シュウ、ひい-でる	превосходить
circumference	周	シュウ、まわ-り	кружиться
religion	宗	シュウ, ソウ, むね	религия
pickup	拾	シュウ、ジュウ、ひろ-う	подбирать
autumn	秋	シュウ、あき	осень
stinking	臭	シュウ、くさ-い、にお-う	зловоние
discipline	修	シュウ、（シュ）、おさ-める、おさ-まる	учиться
sleeve	袖	シュウ、そで	рукав
end	終	シュウ、お-わる、お-える, つい-に	конец
feel ashamed	羞	シュウ, はじ-る, は-ずかしい	смущаться
learn	習	シュウ、なら-う	учиться
week	週	シュウ	неделя
concerning	就	シュウ、（ジュ）、つ-く、つ-ける	приступать
masses	衆	シュウ、（シュ）	народ
collect	集	シュウ、あつ-まる、あつ-める、つど-う	собирать
distress	愁	シュウ、うれ-える、うれ-い	горе
repay	酬	シュウ, むく-いる	отплачивать
ugly	醜	シュウ、みにく-い	безобразный
kick	蹴	シュウ、け-る	пинать
attack	襲	シュウ, おそ-う, かさ-ね	нападать
ten	十	ジュウ、ジッ、とお、と	десять
soup	汁	ジュウ、しる, つゆ	суп
allot	充	ジュウ、あ-てる, み-たす	наполнять
dwelling	住	ジュウ、す-む、す-まう	жить
tender	柔	ジュウ、ニュウ、やわ-らか、やわ-らかい	мягкий
heavy	重	ジュウ、チョウ、え、おも-い, おも-り、かさ-ねる、かさ-なる	тяжёлый
obey	従	ジュウ、（ショウ）、（ジュ）、したが-う、したが-える	следовать
astringent	渋	ジュウ、しぶ、しぶ-い、しぶ-る	терпкий
gun	銃	ジュウ, つつ	ружьё
animal	獣	ジュウ, けもの, けだもの	зверь
vertical	縦	ジュウ、たて	вертикальный
uncle	叔	シュク	дядя
celebrate	祝	シュク、（シュウ）、いわ-う	праздновать
inn	宿	シュク、やど、やど-る、やど-す	гостиница
graceful	淑	シュク, しとやか	грациозный
solemn	粛	シュク	чистка
shrink	縮	シュク、ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす	сжиматься
cram school	塾	ジュク	курсы
ripen	熟	ジュク、う-れる	спелый
exit	出	シュツ、（スイ）、で-る、だ-す, い-でる	выходить
mention	述	ジュツ、の-べる	высказывать
art	術	ジュツ, すべ	умение
genius	俊	シュン	выдающаяся личность
springtime	春	シュン、はる	весна
wink	瞬	シュン, またた-く, まじろ-ぐ	мгновение
10-day period (of the month)	旬	ジュン、（シュン）	декада
patrol	巡	ジュン、めぐ-る	патрулировать
shield	盾	ジュン、たて	щит
quasi-	准	ジュン	младший
martyrdom	殉	ジュン	самопожертвование
genuine	純	ジュン	беспримесный
sequential	循	ジュン	циркуляция
obey	順	ジュン	порядок
standard	準	ジュン, なぞら-える	неполный
wet	潤	ジュン、うるお-う、うるお-す、うる-む	влажный
abide by	遵	ジュン	соблюдать
dispose	処	ショ, ところ, -こ, お-る	распоряжаться
first	初	ショ、はじ-め、はじ-めて、はつ、うい、そ-める	первый
place	所	ショ、ところ, とこ	место
write	書	ショ、か-く	писать
commoner	庶	ショ	многочисленный
hot	暑	ショ、あつ-い	жаркий
government office	署	ショ	контора
thong	緒	ショ、（チョ）、お, いとぐち	начало
various	諸	ショ, もろ	всевозможные
woman	女	ジョ、ニョ、（ニョウ）、おんな、め	женщина
likeness	如	ジョ, ニョ, ごと-し	подобно
help	助	ジョ、たす-ける、たす-かる、すけ	спасать
preface	序	ジョ, つい-で, ついで	введение
confer	叙	ジョ	описывать
gradually	徐	ジョ, おもむ-ろに	медленно
exclude	除	ジョ、（ジ）、のぞ-く, -よ-け	устранять
small	小	ショウ、ちい-さい、こ、お	маленький
measuring box	升	ショウ、ます	мера ёмкости
few	少	ショウ、すく-ない、すこ-し	мало
summon	召	ショウ、め-す	вызывать
artisan	匠	ショウ, たくみ	мастер
bed	床	ショウ、とこ、ゆか	постель
extract	抄	ショウ	выписки
resemblance	肖	ショウ, あやか-る	сходство
esteem	尚	ショウ, なお	ещё
beckon	招	ショウ、まね-く	приглашать
acquiesce	承	ショウ、うけたまわ-る	соглашаться
riseup	昇	ショウ、のぼ-る	повышение
pine	松	ショウ、まつ	сосна
marsh	沼	ショウ、ぬま	болото
shining	昭	ショウ	эпоха Сёва
wee hours	宵	ショウ、よい	ранний вечер
leader	将	ショウ, まさ-に	генерал
extinguish	消	ショウ、き-える、け-す	гасить
symptoms	症	ショウ	синдром
auspicious	祥	ショウ, つまび-らか	добрый знак
appellation	称	ショウ, たた-える, とな-える, ほめ-る	название
laugh	笑	ショウ、わら-う、え-む	смех
chant	唱	ショウ、とな-える	распевать
sell	商	ショウ、あきな-う	коммерция
ford	渉	ショウ, わた-る	сношения
chapter	章	ショウ	эмблема
introduce	紹	ショウ	знакомить
sue	訟	ショウ	тяжба
win	勝	ショウ、か-つ、まさ-る, すぐ-れる	побеждать
manipulate	掌	ショウ, てのひら, たなごころ	ладонь
sparkle	晶	ショウ	кристалл
bake	焼	ショウ、や-く、や-ける	сжигать
char	焦	ショウ、こ-げる、こ-がす、こ-がれる、あせ-る	подгорать
nitrate	硝	ショウ	селитра
cosmetics	粧	ショウ	макияж
imperial edict	詔	ショウ、みことのり	императорский указ
evidence	証	ショウ, あかし	свидетельство
elephant	象	ショウ、ゾウ, かたど-る	явление
wound	傷	ショウ、きず、いた-む、いた-める	рана
exhort	奨	ショウ, すす-める	поощрять
illuminate	照	ショウ、て-る、て-らす、て-れる	светить
detailed	詳	ショウ, くわ-しい, つまび-らか	подробный
patent	彰	ショウ	признание заслуг
hurt	障	ショウ、さわ-る	препятствие
desire	憧	ショウ、あこが-れる	жаждать
collide	衝	ショウ, つ-く	столкновение
prize	賞	ショウ, ほ-める	награда
reparation	償	ショウ、つぐな-う	возмещать
reef	礁	ショウ	риф
bell	鐘	ショウ、かね	колокол
up	上	ジョウ、（ショウ）、うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す, よ-す	верх
length	丈	ジョウ、たけ	крепкий
superfluous	冗	ジョウ	избыточный
clause	条	ジョウ, すじ	статья
form	状	ジョウ	форма
ride	乗	ジョウ、の-る、の-せる	ехать
castle	城	ジョウ、しろ	зАмок
clean	浄	ジョウ, きよ-める, きよ-い	священный
surplus	剰	ジョウ, あまつさえ	вдобавок
normal	常	ジョウ、つね、とこ	обычный
feelings	情	ジョウ、（セイ）、なさ-け	чувство
place	場	ジョウ、ば	место
tatami mat	畳	ジョウ、たた-む、たたみ	татами
steam	蒸	ジョウ、む-す、む-れる、む-らす	варить на пару
strawrope	縄	ジョウ、なわ	верёвка
lot	壌	ジョウ	почва
lass	嬢	ジョウ, むすめ	барышня
lock	錠	ジョウ	замОк
defer	譲	ジョウ、ゆず-る	уступать
brew	醸	ジョウ、かも-す	варить пиво
color	色	ショク、シキ、いろ	цвет
wipe	拭	ショク、ふ-く、ぬぐ-う	вытирать
eat, meal	食	ショク、（ジキ）、く-う、く-らう、た-べる, は-む	еда
plant	植	ショク、う-える、う-わる	сажать
augment	殖	ショク、ふ-える、ふ-やす	приумножать
decorate	飾	ショク、かざ-る	украшать
contact	触	ショク、ふ-れる、さわ-る	трогать
entrust	嘱	ショク	поручать
weave	織	ショク、シキ、お-る	ткать
employment	職	ショク	должность
embarrass	辱	ジョク、はずかし-める	унижать
buttocks	尻	しり	зад
heart	心	シン、こころ	сердце
say	申	シン、もう-す, さる	докладывать
lengthen	伸	シン、の-びる、の-ばす、の-べる	растягивать
retainer	臣	シン、ジン	вассал
core	芯	シン	сердцевина
body	身	シン、み	тело
spicy	辛	シン、から-い, つら-い, かのと	острый на вкус
encroach	侵	シン、おか-す	вторгаться
trust	信	シン	верить
haven	津	シン、つ	гавань
god	神	シン、ジン、かみ、（かん）、（こう）	бог
lips	唇	シン、くちびる	губы
withchild	娠	シン	беременность
shake	振	シン、ふ-る、ふ-るう、ふ-れる	трястись
immersed	浸	シン、ひた-す、ひた-る	замачивать
TRUE	真	シン、ま, まこと	правда
needle	針	シン、はり	игла
deep	深	シン、ふか-い、ふか-まる、ふか-める	глубокий
sire	紳	シン	джентльмен
advance	進	シン、すす-む、すす-める	продвигаться
forest	森	シン、もり	лес
check up	診	シン、み-る	врачебный осмотр
lie down	寝	シン、ね-る、ね-かす	ложиться спать
humility	慎	シン、つつし-む	осмотрительный
new	新	シン、あたら-しい、あら-た、にい	новый
examine	審	シン, つまび-らか	разбирательство
quake	震	シン、ふる-う、ふる-える	землетрясение
fuel	薪	シン, たきぎ, まき	дрова
parent	親	シン、おや、した-しい、した-しむ	родители
person	人	ジン、ニン、ひと, -り, -と	человек
blade	刃	ジン、は, やいば	клинок
humanity	仁	ジン、（ニ）	человеколюбие
exhaust	尽	ジン、つ-くす、つ-きる、つ-かす, ことごと-く	исчерпывать
swift	迅	ジン	быстрый
tremendously	甚	ジン、はなは-だ、はなは-だしい	чрезвычайно
camp	陣	ジン	боевой порядок
inquire	尋	ジン, たず-ねる, ひろ	разыскивать
kidney	腎	ジン	почки
by all means	須	ス, すべから-く	непременно
diagram	図	ズ、ト、はか-る	чертёж
water	水	スイ、みず	вода
blow	吹	スイ、ふ-く	дуть
droop	垂	スイ、た-れる、た-らす, なんなんと-す	висеть
cook	炊	スイ、た-く	готовить пищу
commander	帥	スイ	верховное командование
chic	粋	スイ、いき	изысканный
decline	衰	スイ、おとろ-える	упадок
infer	推	スイ、お-す	предполагать
drunk	酔	スイ、よ-う	пьяный
consummate	遂	スイ, と-げる, つい-に	осуществлять
drowsy	睡	スイ	сон
ear	穂	スイ、ほ	колос
follow	随	ズイ, まにまに, したが-う	произвольный
marrow	髄	ズイ	костный мозг
hinge	枢	スウ, とぼそ	ось
adore	崇	スウ, あが-める	почитать
number	数	スウ、（ス）、かず、かぞ-える, しばしば	число
set	据	す-える、す-わる	устанавливать
cedar	杉	すぎ	криптомерия
cuff	裾	すそ	нижняя кромка
measurement	寸	スン	дюйм
rapids	瀬	せ	стремнина
just so	是	ゼ, これ, この, ここ	правильность
well	井	セイ、（ショウ）、い	колодец
world	世	セイ、セ、よ	мир
correct	正	セイ、ショウ、ただ-しい、ただ-す、まさ	правильный
life	生	セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま, な-る, な-す, む-す	жизнь
become	成	セイ、（ジョウ）、な-る、な-す	становиться
west	西	セイ、サイ、にし	запад
voice	声	セイ、（ショウ）、こえ、（こわ）	голос
control	制	セイ	система
surname	姓	セイ、ショウ	фамилия
subjugate	征	セイ	идти войной
gender	性	セイ, ショウ, さが	характер
blue	青	セイ、（ショウ）、あお、あお-い	голубой
adjusted	斉	セイ, サイ, ひと-しい	единообразие
politics	政	セイ、（ショウ）、まつりごと	политика
star	星	セイ、（ショウ）、ほし	звезда
animal sacrifice	牲	セイ	жертва
government ministry	省	セイ、ショウ、かえり-みる、はぶ-く	министерство
uncanny	凄	セイ, すご-い, すさ-まじい	ужасный
departed	逝	セイ、ゆ-く、い-く	скончаться
pure	清	セイ、（ショウ）、きよ-い、きよ-まる、きよ-める	чистый
prosper	盛	セイ、（ジョウ）、も-る、さか-る、さか-ん	процветать
bridegroom	婿	セイ、むこ	зять
clearup	晴	セイ、は-れる、は-らす	ясная погода
power	勢	セイ、いきお-い, はずみ	энергия
holy	聖	セイ, ひじり	святой
sincerity	誠	セイ、まこと	искренность
refined	精	セイ、（ショウ）	жизненная энергия
manufacture	製	セイ	изготовлять
vow	誓	セイ、ちか-う	клятва
quiet	静	セイ、（ジョウ）、しず、しず-か、しず-まる、しず-める	тихий
solicit	請	セイ、（シン）、こ-う、う-ける	просить
putinorder	整	セイ、ととの-える、ととの-う	приводить в порядок
be disillusioned 	醒	セイ, さ-ます, さ-める	пробуждать
tax	税	ゼイ	налог
evening	夕	セキ、ゆう	вечер
reject	斥	セキ, しりぞ-ける	отгонять
stone	石	セキ、（シャク）、（コク）、いし	камень
red	赤	セキ、（シャク）、あか、あか-い、あか-らむ、あか-らめる	красный
long ago	昔	セキ、（シャク）、むかし	прошлое
chop	析	セキ	анализ
seat	席	セキ, むしろ	место для сидения
stature	脊	セキ, せ, せい	позвоночник
vessels	隻	セキ	только один
pity	惜	セキ、お-しい、お-しむ	жалко
grieve	戚	セキ	родственник
blame	責	セキ、せ-める	ответственность
tracks	跡	セキ、あと	след
accumulate	積	セキ、つ-む、つ-もる	нагромождать
exploits	績	セキ	достижения
enroll	籍	セキ	приписка
cut	切	セツ、（サイ）、き-る、き-れる	резать
fold	折	セツ、お-る、おり、お-れる	сгибать
bungling	拙	セツ、つたな-い	неумелый
stealth	窃	セツ, ひそ-か	красть
contact	接	セツ、つ-ぐ	соединять
establish	設	セツ、もう-ける	учреждать
snow	雪	セツ、ゆき	снег
vicarious	摂	セツ	регент
node	節	セツ、（セチ）、ふし	сустав
theory	説	セツ、（ゼイ）、と-く	теория
tongue	舌	ゼツ、した	язык
discontinue	絶	ゼツ、た-える、た-やす、た-つ	прекращаться
thousand	千	セン、ち	тысяча
river	川	セン、かわ	река
hermit	仙	セン	маг
fortune telling	占	セン、し-める、うらな-う	завладевать
previous	先	セン, さき, ま-ず	впереди
proclaim	宣	セン, のたま-う	оглашать
specialty	専	セン、もっぱ-ら	специальный
spring	泉	セン、いずみ	родник
shallow	浅	セン、あさ-い	мелкий
wash	洗	セン、あら-う	мыть
dye	染	セン、そ-める、そ-まる、し-みる、し-み	окрашивать
fan	扇	セン、おうぎ	веер
plug	栓	セン	затычка
rotation	旋	セン	вертеться
boat	船	セン、ふね、（ふな）	судно
war	戦	セン, いくさ, たたか-う, おのの-く, そよぐ, わなな-く	война
broil	煎	セン、い-る	выпаривать
envy	羨	セン、うらや-む、うらや-ましい	зависть
gland	腺	セン	железа
discussion	詮	セン,かい	польза
tread	践	セン, ふ-む	практика
paper	箋	セン	листок бумаги
coin	銭	セン、ぜに	деньги
submerge	潜	セン、ひそ-む, ひそ-める、もぐ-る, くぐ-る	нырять
line	線	セン	линия
transition	遷	セン, うつ-る, うつ-す	перемещать
choose	選	セン、えら-ぶ	выбирать
recommend	薦	セン、すす-める	рекомендовать
slender	繊	セン	волокно
fresh	鮮	セン、あざ-やか	свежий
whole	全	ゼン、まった-く、すべ-て	полностью
in front	前	ゼン、まえ	перед
good	善	ゼン、よ-い	добро
so	然	ゼン, ネン, しか, しか-り, しか-し, さ	так
Zen	禅	ゼン	дзэн-буддизм
steadily	漸	ゼン, やや	постепенно
tray	膳	ゼン	обеденный столик
darning	繕	ゼン、つくろ-う	чинить
aim at	狙	ソ、ねら-う	целиться
thwart	阻	ソ、はば-む	задерживать
ancestor	祖	ソ	предок
tariff	租	ソ	аренда
elementary	素	ソ、ス、もと	элемент
set aside	措	ソ	откладывать
coarse	粗	ソ、あら-い	грубый
association	組	ソ、く-む、くみ	группа
alienate	疎	ソ、うと-い、うと-む, まば-ら	чуждаться
sue	訴	ソ、うった-える	жалоба
model	塑	ソ	ваять
go upstream	遡	ソ、さかのぼ-る	вверх по течению
cornerstone	礎	ソ、いしずえ	краеугольный камень
pair	双	ソウ、ふた, ならぶ	пара
robust	壮	ソウ	энергичный
early	早	ソウ、（サッ）、はや-い、はや-まる、はや-める	ранний
conflict	争	ソウ, あらそ-う, いか-でか	бороться
run	走	ソウ、はし-る	бежать
play music	奏	ソウ、かな-でる	музицировать
mutual	相	ソウ、ショウ、あい	взаимный
villa	荘	ソウ	дача
grass	草	ソウ、くさ	трава
send	送	ソウ、おく-る	посылать
warehouse	倉	ソウ、くら	амбар
search	捜	ソウ、さが-す	искать
insert	挿	ソウ, さ-す, はさ-む	вставлять
mulberry	桑	ソウ、くわ	шелковица
nest	巣	ソウ、す, す-くう	гнездо
sweep	掃	ソウ、は-く	мести
cadet	曹	ソウ	сержант
formerly	曽	ソウ、（ゾ）, かつ	пра-
refreshing	爽	ソウ、さわ-やか	освежающий
window	窓	ソウ、まど	окно
create	創	ソウ、つく-る, はじ-める, きず	творческий
miss	喪	ソウ、も	траур
get thin	痩	ソウ、や-せる	тощий
interment	葬	ソウ、ほうむ-る	похороны
attire	装	ソウ、ショウ、よそお-う	наряжаться
Buddhist priest	僧	ソウ	бонза
concept	想	ソウ, ソ, おも-う	представлять себе
stratum	層	ソウ	слой
whole	総	ソウ, すべ-て, ふさ	общий
encounter	遭	ソウ, あ-う, あ-わせる	быть застигнутым
vat	槽	ソウ, ふね	цистерна
remains	踪	ソウ	следы
maneuver	操	ソウ、みさお、あやつ-る	манипулировать
